iter	Passed	Remaining
153	341	1878
154	342	1867
155	343	1857
156	344	1847
157	344	1837
158	345	1829
159	346	1819
160	347	1808
161	347	1798
162	348	1788
163	348	1779
164	349	1769
165	350	1760
166	350	1750
167	353	1749
168	354	1742
169	355	1733
170	355	1724
171	356	1715
172	357	1706
173	357	1698
174	358	1689
175	358	1680
176	359	1672
177	360	1665
178	361	1658
179	362	1650
180	362	1642
181	363	1634
182	364	1626
183	364	1618
184	365	1610
185	368	1613
186	369	1606
187	370	1600
188	371	1592
189	371	1585
190	372	1577
191	373	1571
192	374	1563
193	375	1559
194	376	1552
195	376	1545
196	377	1538
197	378	1531
198	378	1524
199	379	1517
200	380	1511
201	382	1509
202	383	1505
203	384	1499
204	385	1494
205	386	1489
206	387	1485
207	389	1482
208	390	1479
209	391	1474
210	392	1469
211	393	1463
212	394	1458
213	399	1465
214	400	1461
215	401	1456
216	402	1450
217	403	1445
218	403	1439
219	405	1436
220	406	1431
221	407	1426
222	407	1421
223	408	1416
224	409	1410
225	411	1408
226	416	1416
227	417	1414
228	419	1413
229	421	1410
230	422	1407
231	423	1402
232	424	1397
233	425	1394
234	426	1389
235	427	1384
236	428	1379
237	429	1375
238	430	1371
239	431	1366
240	432	1361
241	432	1356
242	433	1350
243	434	1345
244	434	1340
245	436	1337
246	437	1333
247	438	1328
248	438	1323
249	439	1318
250	440	1313
251	440	1308
252	441	1304
253	442	1300
254	443	1295
255	444	1291
256	445	1289
257	446	1284
258	447	1279
259	447	1274
260	448	1270
261	449	1265
262	453	1269
263	455	1270
264	456	1266
265	458	1264
266	459	1261
267	460	1258
268	464	1262
269	468	1265
270	472	1269
271	473	1266
272	474	1263
273	475	1261
274	476	1257
275	477	1253
276	478	1248
277	479	1244
278	487	1259
279	488	1255
280	489	1252
281	490	1248
282	491	1245
283	492	1241
284	493	1237
285	494	1233
286	494	1229
287	497	1230
288	500	1230
289	501	1227
290	502	1224
291	504	1222
292	506	1221
293	507	1218
294	508	1214
295	508	1210
296	515	1221
297	517	1219
298	519	1217
299	520	1214
300	521	1210
301	522	1208
302	524	1205
303	526	1206
304	528	1203
305	529	1199
306	530	1196
307	530	1192
308	531	1188
309	532	1184
310	532	1180
311	534	1177
312	534	1174
313	535	1170
314	536	1167
315	537	1163
316	542	1168
317	543	1166
318	544	1162
319	545	1158
320	545	1154
321	546	1150
322	547	1146
323	548	1143
324	549	1141
325	550	1137
326	551	1134
327	551	1130
328	552	1126
329	553	1123
330	554	1121
331	555	1118
332	556	1114
333	557	1111
334	557	1107
335	558	1103
336	559	1100
337	559	1096
338	560	1093
339	561	1089
340	561	1085
341	562	1082
342	563	1079
343	564	1076
344	565	1073
345	565	1069
346	566	1066
347	567	1062
348	567	1059
349	571	1061
350	572	1058
351	573	1054
352	573	1051
353	574	1048
354	575	1044
355	575	1041
356	576	1038
357	577	1034
358	578	1032
359	579	1029
360	579	1026
361	580	1023
362	581	1020
363	581	1016
364	582	1013
365	584	1011
366	585	1009
367	586	1006
368	587	1003
369	588	1001
370	589	998
371	589	995
372	590	992
373	591	989
374	592	986
375	592	983
376	594	981
377	594	978
378	595	975
379	596	972
380	597	969
381	597	966
382	599	965
383	600	962
384	601	960
385	601	957
386	602	954
387	603	951
388	603	948
389	604	945
390	605	942
391	606	940
392	607	937
393	607	934
394	608	932
395	609	929
396	609	926
397	610	923
398	612	922
399	613	919
400	613	916
401	614	914
402	615	911
403	615	908
404	616	905
405	617	902
406	617	899
407	618	897
408	618	894
409	619	891
410	620	889
411	621	887
412	622	884
413	623	882
414	623	879
415	624	876
416	625	874
417	627	874
418	629	873
419	630	870
420	631	868
421	632	865
422	632	863
423	633	860
424	634	858
425	635	856
426	636	853
427	636	851
428	637	848
429	638	846
430	639	843
431	639	841
432	641	840
433	642	837
434	643	835
435	644	833
436	645	831
437	646	829
438	647	827
439	648	824
440	649	823
441	650	821
442	651	818
443	652	816
444	652	814
445	653	811
446	654	809
447	657	810
448	658	808
449	659	805
450	660	803
451	660	801
452	661	798
453	662	796
454	662	793
455	663	791
456	664	789
457	665	787
458	666	785
459	667	783
460	667	780
461	668	778
462	669	776
463	670	775
464	672	773
465	673	771
466	674	769
467	675	767
468	676	765
